Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
335,I am a developer by profession,No,32,26,Yearly,68000,87896,United Kingdom,Pound sterling,GBP,Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite,Microsoft SQL Server;MySQL;PostgreSQL,Database administrator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Flex time or a flexible schedule;Remote work options,Slightly satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;C;Go;Java;Python;SQL,Bash/Shell/PowerShell;Python;Ruby;SQL,NA,NA,Confluence;Jira;Github;Slack;Trello,Confluence;Jira;Github;Slack;Microsoft Teams;Trello,Yes,Somewhat important,Somewhat important,Trouble with my direct manager;Trouble with leadership at my company;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,No,Yes,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,20 to 99 employees,AWS;Docker;Linux,AWS;Linux;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Fine arts or performing arts (such as graphic design, music, studio art, etc.)",NA,NA,A lot less welcome now than last year,40,6,6
336,I am a developer by profession,Yes,39,35,Yearly,99000,99000,United States,United States dollar,USD,PostgreSQL,PostgreSQL,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Hispanic or Latino/a/x;White or of European descent,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,Teraform,Teraform,Slack,Slack,No,Extremely important,Not at all important/not necessary,Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,Yes,No,Sometimes: 1-2 days per month but less than weekly,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,AWS;Linux;MacOS,AWS;Linux;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,I never declared a major,Flask;React.js,Flask;React.js,Just as welcome now as I felt last year,40,4,1
337,I am a developer by profession,No,35,12,Yearly,150000,150000,United States,United States dollar,USD,Microsoft SQL Server;Redis,Microsoft SQL Server;Redis,"Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly dissatisfied,I am actively looking for a job,C#;HTML/CSS;SQL;Swift;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET Core,.NET;.NET Core,Jira;Github;Slack;Stack Overflow for Teams,"Github;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Yes,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Curious about other opportunities;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies;Growth or leadership opportunities,Personal network - friends or family;Directly asking current or past employees at the company,Once a year,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,NA,100 to 499 employees,iOS,NA,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core,ASP.NET;jQuery,Just as welcome now as I felt last year,35,23,11
338,I am a developer by profession,No,24,13,Yearly,74000,55967,Canada,Canadian dollar,CAD,NA,NA,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Remote work options;Financial performance or funding status of the company or organization;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,NA,NA,NA,NA,NA,Confluence;Jira;Slack,Not sure,Extremely important,Very important,NA,NA,Every few months,Yes,Yes,No,Sometimes: 1-2 days per month but less than weekly,NA,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,"5,000 to 9,999 employees",NA,NA,I have little or no influence,Straight / Heterosexual,No,"No, not at all",NA,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Somewhat less welcome now than last year,45,6,1
339,I am a developer by profession,No,27,18,Yearly,60000,64859,Netherlands,European Euro,EUR,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Redis,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Middle Eastern,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Opportunities for professional development,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;C++;Go;Haskell;Python;SQL,C;C#;C++;HTML/CSS;JavaScript;Python;SQL,.NET;.NET Core;Pandas;Unity 3D,.NET;.NET Core;Pandas,Jira;Github;Stack Overflow for Teams,Confluence;Jira;Github;Gitlab,Not sure,Somewhat important,Fairly important,Having a bad day (or week or month) at work;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,Not sure,Yes,No,Often: 1-2 days per week or more,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Panic,Windows,20 to 99 employees,Linux;Windows,Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Too long,No,"Information systems, information technology, or system administration",ASP.NET;ASP.NET Core,ASP.NET,Just as welcome now as I felt last year,45,9,6
340,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,33,11,Yearly,65000,84019,United Kingdom,Pound sterling,GBP,NA,NA,Academic researcher;Scientist,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;Bash/Shell/PowerShell;C;Python,Assembly;Bash/Shell/PowerShell;C;Perl;PHP;Python,NA,NA,Confluence;Jira;Github;Gitlab;Slack,Confluence;Jira;Github;Gitlab;Slack,Yes,Somewhat important,Critically important,Just because;Curious about other opportunities;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Directly asking current or past employees at the company",Every few months,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Linux-based,"5,000 to 9,999 employees",Docker;Linux;Raspberry Pi,Linux;Raspberry Pi,I have little or no influence,Straight / Heterosexual,Not sure/can't remember,Neutral,NA,A few times per week,Easy,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",NA,NA,Just as welcome now as I felt last year,35,4,2
341,I am a developer by profession,Yes,32,14,Yearly,140000,142308,Switzerland,Swiss franc,CHF,SQLite,NA,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,White or of European descent,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Slightly satisfied,I am actively looking for a job,Bash/Shell/PowerShell;C++;Haskell;Python;Ruby;Rust;Scala;SQL,Bash/Shell/PowerShell;C++;Python;Ruby;Rust,Hadoop;Keras;TensorFlow;Torch/PyTorch;Unity 3D;Unreal Engine,Pandas,Confluence;Jira;Github;Gitlab,Confluence;Jira;Github;Slack;Microsoft Teams,Yes,Extremely important,Somewhat important,Just because;Having a bad day (or week or month) at work;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,Onboarding? What onboarding?,No,Often: 1-2 days per week or more,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",AWS;Kubernetes;Linux;MacOS,Docker;Linux;Raspberry Pi;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,NA,NA,NA,Just as welcome now as I felt last year,45,18,10
342,I am a developer by profession,Yes,46,35,Yearly,110000,110000,United States,United States dollar,USD,MongoDB;PostgreSQL,Microsoft SQL Server,"Developer, back-end;Developer, front-end;Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Office environment or company culture,Slightly dissatisfied,I am not interested in new job opportunities,Python;TypeScript,C#;HTML/CSS;JavaScript,React Native;Unity 3D;Xamarin,.NET;.NET Core,NA,Confluence;Github;Microsoft Teams;Microsoft Azure,No,Extremely important,Not at all important/not necessary,Curious about other opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,100 to 499 employees,Docker;Linux;Raspberry Pi,Microsoft Azure,I have little or no influence,Straight / Heterosexual,Yes,"No, not at all",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"A social science (such as anthropology, psychology, political science, etc.)",Angular.js;React.js,ASP.NET;ASP.NET Core,Just as welcome now as I felt last year,40,10,10
343,"I am not primarily a developer, but I write code sometimes as part of my work",Yes,50,20,NA,NA,NA,Brazil,NA,NA,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,IBM DB2;MariaDB;MySQL;PostgreSQL;SQLite,"DevOps specialist;Engineer, site reliability;System administrator",Some college/university study without earning a degree,"Not employed, but looking for work",Hispanic or Latino/a/x,Man,Remote work options;Office environment or company culture;Opportunities for professional development,NA,I am actively looking for a job,Bash/Shell/PowerShell;Go;JavaScript;Julia;Python;R;Rust;SQL,Bash/Shell/PowerShell;Perl;Python;SQL,Ansible;Chef;Pandas;Puppet;TensorFlow;Teraform,Ansible;Pandas;Puppet,"Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",NA,NA,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,No,NA,Yes,NA,Start a free trial;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,NA,AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;Kubernetes;Linux;Microsoft Azure,Linux,NA,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Flask;jQuery;React.js;Vue.js,Flask,Just as welcome now as I felt last year,NA,10,NA
344,I am a developer by profession,Yes,26,19,Yearly,69000,69000,United States,United States dollar,USD,NA,Microsoft SQL Server,"Data or business analyst;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;VBA,.NET Core,.NET;.NET Core,NA,NA,No,Somewhat important,Not at all important/not necessary,Better compensation;Wanting to work with new technologies;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,Not sure,Yes,No,Never,Start a free trial;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Do other work and come back later,Windows,500 to 999 employees,iOS;Microsoft Azure;Raspberry Pi,Raspberry Pi;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",ASP.NET Core,ASP.NET Core;jQuery,Just as welcome now as I felt last year,40,7,3
345,I am a developer by profession,No,34,10,Yearly,55000,55000,United States,United States dollar,USD,Microsoft SQL Server;MySQL;Redis,Microsoft SQL Server;MySQL,"Developer, back-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,Diversity of the company or organization;Flex time or a flexible schedule;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;R;SQL,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,Node.js,NA,Github;Microsoft Teams,Github;Microsoft Teams,No,Extremely important,Fairly important,Having a bad day (or week or month) at work;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,Windows,500 to 999 employees,Raspberry Pi,Microsoft Azure,I have some influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Drupal;Express;Gatsby;Symfony,Drupal,Just as welcome now as I felt last year,40,24,7
346,I am a developer by profession,Yes,23,9,NA,NA,NA,Brazil,NA,NA,MongoDB;Oracle,MySQL;Oracle,NA,Some college/university study without earning a degree,Student,Hispanic or Latino/a/x;White or of European descent,Woman,Flex time or a flexible schedule;Remote work options;Office environment or company culture,NA,"I’m not actively looking, but I am open to new opportunities",JavaScript;Python;Ruby,C;C#;Dart;HTML/CSS;Java;JavaScript;Ruby,React Native,Unity 3D,Github;Gitlab;Trello,Github;Gitlab,NA,NA,NA,Curious about other opportunities;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family",Once a year,Not sure,NA,No,NA,Start a free trial;Ask developers I know/work with,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Linux-based,NA,Docker;Google Cloud Platform;Linux;MacOS,NA,NA,Straight / Heterosexual,No,"No, not really",NA,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js;Ruby on Rails,Ruby on Rails,Just as welcome now as I felt last year,NA,4,NA
347,I am a developer by profession,Yes,NA,20,Yearly,34000,36753,Spain,European Euro,EUR,NA,MySQL;Oracle;PostgreSQL,"Developer, back-end;Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,NA,Man,NA,Very satisfied,I am not interested in new job opportunities,NA,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,NA,NA,NA,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,NA,NA,Every few months,NA,Yes,No,Never,NA,NA,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters);Stack Overflow Advertising (for technology companies),Watch help / tutorial videos,Windows,"10,000 or more employees",NA,NA,NA,NA,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Easy,Too long,No,"Computer science, computer engineering, or software engineering",NA,Drupal;jQuery;Spring;Vue.js,NA,40,7,4
348,I am a developer by profession,No,27,25,Yearly,21000,27144,United Kingdom,Pound sterling,GBP,NA,DynamoDB,"Developer, back-end;Developer, front-end",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,NA,HTML/CSS;JavaScript,NA,Node.js,NA,NA,Not sure,Neutral,Not at all important/not necessary,Better compensation;Growth or leadership opportunities;Looking to relocate,"Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Do other work and come back later,Windows,2 to 9 employees,NA,Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,Web development or web design,NA,jQuery,Somewhat more welcome now than last year,40,3,2
349,I am a developer by profession,Yes,27,10,Yearly,130000,130000,United States,United States dollar,USD,Cassandra;PostgreSQL;Redis,DynamoDB;Elasticsearch;MySQL;PostgreSQL;Redis,"Academic researcher;Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, full-stack;DevOps specialist;Engineer, data;Engineer, site reliability;Scientist;System administrator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Python;Rust;Scala,Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Python;R;Rust;Scala;SQL;TypeScript,Apache Spark;Pandas;TensorFlow;Torch/PyTorch,Apache Spark;Hadoop;Keras;Pandas;TensorFlow;Torch/PyTorch,"Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Having a bad day (or week or month) at work;Curious about other opportunities;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,Yes,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have emailed me,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,MacOS,20 to 99 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack Apps and Integrations,I have a great deal of influence,Straight / Heterosexual,Not sure/can't remember,"No, not really",NA,Daily or almost daily,Easy,Appropriate in length,No,Mathematics or statistics,Flask,Angular;Flask,Just as welcome now as I felt last year,40,13,4
350,I am a developer by profession,Yes,32,11,Yearly,29000,31348,Estonia,European Euro,EUR,NA,Firebase;MongoDB;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Family friendliness,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Dart;HTML/CSS;Java;Kotlin;TypeScript,Dart;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Flutter,Flutter,Jira;Github;Gitlab,Jira;Github;Gitlab,Not sure,Neutral,Not at all important/not necessary,Just because;Better compensation,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indifferent,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,20 to 99 employees,Android;iOS;Windows,Android;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Easy,Too long,No,"A business discipline (such as accounting, finance, marketing, etc.)",Angular,Angular;jQuery;Spring,Just as welcome now as I felt last year,40,3,2
351,I am a developer by profession,No,27,16,NA,NA,NA,United States,United States dollar,USD,Microsoft SQL Server,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Very satisfied,I am not interested in new job opportunities,C#;SQL,C#;HTML/CSS;JavaScript;Python;SQL,.NET;.NET Core;Xamarin,.NET;.NET Core,Microsoft Teams,Github;Slack;Microsoft Teams,Yes,Somewhat important,Very important,Having a bad day (or week or month) at work;Better compensation;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,No,Yes,Yes,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Windows,NA,Android;Raspberry Pi;Windows,Raspberry Pi;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core,ASP.NET;Flask;jQuery,Just as welcome now as I felt last year,40,10,5
352,I am a developer by profession,Yes,29,27,Yearly,90000,68068,Canada,Canadian dollar,CAD,MySQL,NA,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Woman,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Ruby;TypeScript,Node.js,Node.js,"Github;Slack;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",Not sure,Neutral,Not at all important/not necessary,Curious about other opportunities;Better compensation;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,Yes,Yes,Often: 1-2 days per week or more,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,MacOS,"5,000 to 9,999 employees",NA,NA,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"A health science (such as nursing, pharmacy, radiology, etc.)",React.js;Ruby on Rails,React.js;Ruby on Rails,Just as welcome now as I felt last year,40,2,Less than 1 year
353,I am a student who is learning to code,No,18,10,NA,NA,NA,United States,NA,NA,NA,MySQL,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,South Asian,Man,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,NA,"I’m not actively looking, but I am open to new opportunities",Assembly;C;JavaScript;Objective-C;SQL;Swift,C++;HTML/CSS;Java;Python,Node.js;TensorFlow;Torch/PyTorch;Unity 3D,NA,NA,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",NA,NA,NA,NA,NA,Once a year,Not sure,NA,No,NA,Start a free trial;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,NA,Raspberry Pi,Raspberry Pi,NA,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Appropriate in length,No,NA,Angular;Angular.js;Django,Drupal;jQuery,Just as welcome now as I felt last year,NA,2,NA
